設定檔,類別,地區,×1 (0–1.5kg),×2 (1.5–2.5kg),×3 (≥2.5kg),單一費率
一般設定檔,一般 / 其他設定檔,全球免運,,,,0
12X12,單件設定檔（一次訂購 1 件）,美國,22.95,45.90,68.85,
12X12,單件設定檔（一次訂購 1 件）,加拿大,17,34,51,
12X12,單件設定檔（一次訂購 1 件）,英國,10,20,30,
12X12,單件設定檔（一次訂購 1 件）,德國,11,22,33,
12X12,單件設定檔（一次訂購 1 件）,法國,12,24,33,
12X12,單件設定檔（一次訂購 1 件）,義大利,16,32,48,
12X12,單件設定檔（一次訂購 1 件）,西班牙,11,22,33,
12X12,單件設定檔（一次訂購 1 件）,荷蘭,12,24,36,
12X12,單件設定檔（一次訂購 1 件）,歐洲其他+澳洲,12,24,36,
12X12,單件設定檔（一次訂購 1 件）,亞洲+非洲,28,56,84,
12X12,單件設定檔（一次訂購 1 件）,南美洲+紐西蘭,,,,173
20X20,單件設定檔（一次訂購 1 件）,美國,23.95,47.90,71.85,
20X20,單件設定檔（一次訂購 1 件）,加拿大,19.95,39.90,59.85,
20X20,單件設定檔（一次訂購 1 件）,英國,15,30,48,
20X20,單件設定檔（一次訂購 1 件）,德國,11,22,33,
20X20,單件設定檔（一次訂購 1 件）,法國,15,30,45,
20X20,單件設定檔（一次訂購 1 件）,義大利,16,32,48,
20X20,單件設定檔（一次訂購 1 件）,西班牙,14,28,42,
20X20,單件設定檔（一次訂購 1 件）,荷蘭,14,28,42,
20X20,單件設定檔（一次訂購 1 件）,歐洲其他+澳洲,12,24,36,
20X20,單件設定檔（一次訂購 1 件）,亞洲,28,56,84,
20X20,單件設定檔（一次訂購 1 件）,南美洲+紐西蘭,,,,173
30X30,單件設定檔（一次訂購 1 件）,美國,29.95,59,89.85,
30X30,單件設定檔（一次訂購 1 件）,加拿大,19.95,39.90,59.85,
30X30,單件設定檔（一次訂購 1 件）,英國,17.50,35,52.50,
30X30,單件設定檔（一次訂購 1 件）,德國,15,30,45,
30X30,單件設定檔（一次訂購 1 件）,法國,18,36,54,
30X30,單件設定檔（一次訂購 1 件）,義大利,20,40,60,
30X30,單件設定檔（一次訂購 1 件）,西班牙,31,62,93,
30X30,單件設定檔（一次訂購 1 件）,荷蘭,14,28,42,
30X30,單件設定檔（一次訂購 1 件）,歐洲其他+澳洲,33,66,99,
30X30,單件設定檔（一次訂購 1 件）,亞洲,49,98,147,
30X30,單件設定檔（一次訂購 1 件）,南美洲+紐西蘭,,,,173
40X40,單件設定檔（一次訂購 1 件）,美國,41.95,83.90,125.85,
40X40,單件設定檔（一次訂購 1 件）,加拿大,24.95,49.90,74.85,
40X40,單件設定檔（一次訂購 1 件）,英國,25,50,75,
40X40,單件設定檔（一次訂購 1 件）,德國,15,30,45,
40X40,單件設定檔（一次訂購 1 件）,法國,18,36,54,
40X40,單件設定檔（一次訂購 1 件）,義大利,22,44,66,
40X40,單件設定檔（一次訂購 1 件）,西班牙,31,62,93,
40X40,單件設定檔（一次訂購 1 件）,荷蘭,14,28,42,
40X40,單件設定檔（一次訂購 1 件）,歐洲其他+澳洲,33,66,99,
40X40,單件設定檔（一次訂購 1 件）,亞洲,159,318,477,
40X40,單件設定檔（一次訂購 1 件）,南美洲+紐西蘭,,,,240
48X48,單件設定檔（一次訂購 1 件）,美國,215,430,645,
48X48,單件設定檔（一次訂購 1 件）,加拿大,265,530,795,
48X48,單件設定檔（一次訂購 1 件）,英國,36,72,108,
48X48,單件設定檔（一次訂購 1 件）,德國,82,164,246,
48X48,單件設定檔（一次訂購 1 件）,法國,82,164,246,
48X48,單件設定檔（一次訂購 1 件）,義大利,83,166,249,
48X48,單件設定檔（一次訂購 1 件）,西班牙,92,184,273,
48X48,單件設定檔（一次訂購 1 件）,荷蘭,77,154,231,
48X48,單件設定檔（一次訂購 1 件）,歐洲其他+澳洲,93,186,279,
48X48,單件設定檔（一次訂購 1 件）,亞洲,374,748,1122,
48X48,單件設定檔（一次訂購 1 件）,南美洲+紐西蘭,,,,480
36X36,單件設定檔（一次訂購 1 件）,美國,31.95,63.90,95.85,
36X36,單件設定檔（一次訂購 1 件）,加拿大,19.95,39.90,59.85,
36X36,單件設定檔（一次訂購 1 件）,英國,18,36,54,
36X36,單件設定檔（一次訂購 1 件）,德國,15,30,45,
36X36,單件設定檔（一次訂購 1 件）,法國,18,36,54,
36X36,單件設定檔（一次訂購 1 件）,義大利,20,40,60,
